number_of_steps avg_p1 avg_p2
1000 0.0 0.0
2000 0.0 1.0
3000 -1.0 -0.25
4000 0.0 -0.5
5000 -1.0 -0.5
6000 1.0 -0.75
7000 -0.5 -0.75
8000 0.0 0.25
9000 -0.5 -0.5
10000 0.0 -0.75
11000 0.5 0.25
12000 0.0 0.5
13000 0.0 0.25
14000 0.0 0.25
15000 0.5 0.0
16000 -1.0 -0.5
17000 -0.5 -0.25
18000 -0.5 0.75
19000 0.5 0.5
20000 0.0 -0.5
21000 0.5 0.25
22000 -0.5 0.0
23000 -1.0 0.0
24000 0.5 0.0
25000 -0.5 0.75
26000 0.5 0.0
27000 0.0 -0.75
28000 0.0 0.5
29000 0.0 0.0
30000 0.5 0.0
31000 -0.5 -0.5
32000 0.5 -0.25
33000 0.0 -0.5
34000 0.5 -0.75
35000 0.5 -0.75
36000 0.5 0.5
37000 0.0 0.0
38000 0.5 0.0
39000 0.0 0.75
40000 0.0 0.25
41000 -0.5 -0.25
42000 0.5 0.25
43000 -1.0 -0.25
44000 -1.0 0.25
45000 0.0 0.25
46000 -0.5 0.75
47000 0.5 0.25
48000 1.0 0.25
49000 0.0 0.0
50000 1.0 1.0
51000 -0.5 0.5
52000 0.0 0.25
53000 0.0 0.5
54000 -1.0 1.0
55000 1.0 0.75
56000 -0.5 0.75
57000 0.0 0.5
58000 0.0 0.0
59000 -0.5 -0.25
60000 1.0 0.0
61000 -0.5 0.0
62000 -1.0 -0.25
63000 0.5 0.0
64000 0.5 0.25
65000 -0.5 0.0
66000 0.0 0.0
67000 0.0 -0.5
68000 0.5 0.0
69000 0.0 -0.25
70000 0.5 -0.25
71000 0.0 -0.5
72000 0.0 -0.5
73000 -0.5 -0.25
74000 0.5 -0.5
75000 -0.5 -0.25
76000 0.5 0.5
77000 0.0 -0.25
78000 0.0 0.25
79000 1.0 0.25
80000 -0.5 -0.5
81000 -0.5 -0.25
82000 0.0 0.0
83000 -0.5 0.75
84000 0.5 0.25
85000 0.5 0.25
86000 0.0 -0.5
87000 0.0 0.0
88000 0.0 1.0
89000 0.5 -0.75
90000 1.0 0.75
91000 0.5 -0.5
92000 -0.5 0.0
93000 0.0 0.5
94000 -0.5 0.0
95000 0.0 -0.25
96000 1.0 -0.75
97000 0.5 0.5
98000 0.0 0.5
99000 -1.0 -0.25
100000 0.5 0.5
101000 0.0 0.75
102000 -0.5 -0.5
103000 0.0 -0.75
104000 -0.5 0.25
105000 -0.5 0.25
106000 0.5 0.5
107000 0.0 -0.25
108000 -0.5 -0.25
109000 0.5 0.25
110000 0.0 0.5
111000 0.0 0.0
112000 0.5 0.0
113000 0.0 -0.25
114000 -0.5 0.0
115000 0.0 -0.5
116000 -0.5 0.25
117000 -0.5 0.25
118000 0.5 -0.25
119000 0.0 0.0
120000 -0.5 0.75
121000 0.0 0.5
122000 0.5 0.75
123000 -1.0 -0.25
124000 1.0 0.25
125000 0.5 0.5
126000 0.0 0.75
127000 0.0 -0.5
128000 -0.5 -0.75
129000 1.0 -0.5
130000 -0.5 -0.25
131000 0.0 -0.75
132000 0.0 -0.25
133000 0.0 0.5
134000 0.0 -0.25
135000 0.0 0.5
136000 0.0 0.25
137000 -0.5 -0.25
138000 0.0 0.5
139000 0.0 0.0
140000 0.0 0.75
141000 0.0 0.25
142000 -1.0 -0.5
143000 -0.5 0.25
144000 0.0 0.25
145000 0.0 0.25
146000 -1.0 0.25
147000 -0.5 0.5
148000 0.5 -0.25
149000 -0.5 -0.25
150000 0.0 -0.25
151000 1.0 0.25
152000 -0.5 -0.25
153000 0.0 0.75
154000 0.5 0.5
155000 0.0 -0.25
156000 1.0 0.25
157000 0.0 0.0
158000 -0.5 0.25
159000 -0.5 -0.5
160000 0.5 0.5
161000 1.0 0.25
162000 -0.5 0.0
163000 0.0 -0.25
164000 -0.5 -0.25
165000 -0.5 0.0
166000 -0.5 0.25
167000 0.0 -0.5
168000 0.0 0.5
169000 0.0 0.0
170000 0.0 1.0
171000 0.0 0.25
172000 0.5 -0.5
173000 0.0 -0.25
174000 -0.5 -0.25
175000 -0.5 -0.5
176000 0.5 0.0
177000 0.0 0.0
178000 -1.0 0.5
179000 -0.5 0.5
180000 0.0 -0.5
181000 -1.0 0.0
182000 0.0 0.5
183000 -0.5 -0.75
184000 0.0 0.75
185000 0.5 0.25
186000 0.5 0.0
187000 0.5 -0.25
188000 -0.5 -1.0
189000 -0.5 -0.25
190000 -0.5 0.25
191000 0.0 -0.25
192000 0.0 0.0
193000 0.5 0.75
194000 0.0 -0.25
195000 0.5 0.25
196000 -0.5 -0.5
197000 1.0 0.75
198000 0.5 0.0
199000 -0.5 0.25
200000 0.5 -0.25
201000 -1.0 -0.75
202000 0.5 0.75
203000 0.5 0.0
204000 0.0 0.25
205000 0.0 -0.25
206000 0.0 -0.25
207000 0.0 0.75
208000 -0.5 0.25
209000 0.0 0.25
210000 0.5 0.0
211000 0.0 0.25
212000 -0.5 0.5
213000 -0.5 -0.75
214000 0.0 0.75
215000 0.0 0.5
216000 0.0 -0.75
217000 0.0 -0.5
218000 0.0 -0.5
219000 0.0 -0.25
